Funding_Programme,County,Project_Name,Units,Approved_Housing_Body,Capital_Appraisal_Q,Capital_Appraisal_Year,Pre_Planning_Q,Pre_Planning_Year,Pre_Tender_Design_Q,Pre_Tender_Design_Year,Approval_Q,Approval_Year,On_Site_Q,On_Site_Year,Completed_Q,Completed_Year
Calf Turnkey,Fingal,"Old Corduff Road, Blanchardstown, Dublin 15 (Phase 1)*",28,Respond,,0,,0,,0,,0,Q4,2018,,0
Calf Turnkey,Fingal,"Pappan Grove, Northwood, Santry, Dublin 9 (Phase 1)*",35,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q3,2019
Calf Turnkey,Fingal,"Phoenix Park Avenue, Castleknock, Dublin 15 (Phase 1)*",31,Fold Housing Association Ireland Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Fingal,"Seamus Ennis Terrace, Naul, Co. Dublin (Phase 1)",2,Respond,,0,,0,,0,,0,Q3,2017,,0
Calf Turnkey,Fingal,"Semple Woods, Donabate, North County Dublin (Phase 1)*",30,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Fingal,"St Marnock�s Bay, Portmarnock, Co Dublin   (Phase 1)*",10,Cluid Housing,,0,,0,,0,,0,,0,Q4,2017
Calf Turnkey,Fingal,St Werburghs Court Drynam Rd Swords Co Dublin (Phase 1)*,18,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2017
Calf Turnkey,Fingal,"Station Manor, Station Road, Portmarnock, Co. Dublin (Phase 1)*",3,Circle Voluntary Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2019
Calf Turnkey,Fingal,"Station Manor, Station Road, Portmarnock, Co. Dublin (Phase 2)*",8,Circle Voluntary Housing Association Ltd,,0,,0,,0,,0,Q4,2017,,0
Calf Turnkey,Fingal,"Taylor Hill Crescent, Balbriggan, Co. Dublin (Phase 1)",4,Cluid Housing,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Fingal,"Taylor Hill, Balbriggan, Co. Dublin (Phase 1)",21,Cluid Housing,,0,,0,,0,,0,,0,Q2,2020
Calf Turnkey,Fingal,"Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",31,Cluid Housing,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Fingal,"Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",24,Cluid Housing,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Fingal,"Taylor Hill, Balbriggan, Co. Dublin (Phase 2)",1,Cluid Housing,,0,,0,,0,,0,Q1,2019,,0
Calf Turnkey,Fingal,"The Forge, Lusk, Co. Dublin (Phase 1)",8,Oaklee Housing,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Fingal,"The Hermitage, Balgriffin, Co Dublin  (Phase 1)*",54,Cluid Housing,,0,,0,,0,,0,,0,Q4,2017
Calf Turnkey,Fingal,"Weavers Wood, Clonsilla Road, Clonsilla, Dublin 15  (Phase 1)*",33,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q3,2018
Calf Turnkey,Fingal,"Weston, Feltrim Road, Swords, North County Dublin (Phase 1)",24,Oaklee Housing,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Fingal,"Weston, Feltrim Road, Swords, North County Dublin (Phase 2)*",10,Oaklee Housing,,0,,0,,0,,0,Q1,2019,,0
Calf Turnkey,Fingal," Wrens Hill, (Formerly The Galleries),  Donabate, Co. Dublin (Phase 1)",43,Oaklee Housing,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Galway City,"Radharc na Gr�ine, (Glasshouse Site) Monivea Road (Phase 1)",6,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction Turnkey,Galway City,"Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 2)",16,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Galway City,"Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 3)",7,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Galway City,"Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 4)",17,N/A,,0,,0,,0,,0,Q4,2018,,0
Ship Construction Turnkey,Galway City,"Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 5)",4,N/A,,0,,0,,0,,0,Q4,2018,,0
Ship Construction Turnkey,Galway City,"Garra� Caol, (Coast Road Site) Dublin Road, Co. Galway",27,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction Turnkey,Galway City,"Garra� Caol (Coast Road Site) Dublin Road, Co. Galway",26,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Fingal,"Outlands, Rathbeale Road, Swords, Co.Dublin",11,N/A,Q3,2019,,0,,0,,0,,0,,0
Ship Construction,Fingal,"Cappagh Lands, Cappagh Road Finglas",69,N/A,Q4,2019,,0,,0,,0,,0,,0
Ship Construction,Fingal,Rowlestown,4,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction,Fingal,"Leonards Garage, Lusk, Co. Dublin",10,N/A,Q4,2019,,0,,0,,0,,0,,0
Ship Construction,Fingal,"Church Road, Lusk",5,N/A,Q4,2019,,0,,0,,0,,0,,0
Ship Construction,Fingal,"Churchfields, Phase 2B, Mulhuddart, Dublin 15.",19,N/A,Q4,2019,,0,,0,,0,,0,,0
Ship Construction,Galway City,"Ard Cr�, Ballymoneen Road (Phase 2)",78,N/A,,0,,0,,0,,0,Q2,2019,,0
Ship Construction,Galway City,"Ard Cr�, Ballymoneen Road (Phase 1)",14,N/A,,0,,0,,0,,0,,0,Q2,2018
Cas Construction,Galway City,97/98 Rockfield,4,Carraig Dubh Housing Association,,0,,0,,0,,0,,0,Q1,2018
Cas Construction,Galway City,"Cul Garrai, Rahoon",6,Peter Triest Housing Association Ltd,,0,,0,Q4,2019,,0,,0,,0
Cas Construction,Galway City,47 Forster Street,9,Cope Galway,,0,,0,,0,,0,,0,Q4,2019
Cas Construction,Galway City,"Doughiska, Galway City",7,Respond,Q2,2019,,0,,0,,0,,0,,0
Calf Turnkey,Galway City,"Belmont, Renmore, Galway City (Phase 1)*",16,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Galway City,"Block C, Sraith Fhada, Doughiska, Galway (Phase 1)",11,Túath Housing Association Ltd,,0,,0,,0,,0,Q2,2008,,0
Calf Turnkey,Galway City,"Block D, Sraith Fhada, Doughiska, Galway (Phase 1)",14,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Galway City,"Boireann Beag, Ros Cam, Galway (Phase 1)",16,Cluid Housing,,0,,0,,0,,0,,0,Q4,2016
Calf Turnkey,Galway City,"Breacan, Letteragh Road, Galway City (Phase 1)*",2,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Galway City,"Caireal Mor (Phase 2), Headford Road, Castlegar, Galway (Phase 1)",7,Respond,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Galway City,"Caireal Mor (Phase 2), Headford Road, Castlegar, Galway (Phase 2)*",8,Respond,,0,,0,,0,,0,Q2,2019,,0
Calf Turnkey,Galway City,"Caireal Mor, Castlegar Road, Galway (Phase 1)",10,Respond,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Galway City,"Caireal Mor, Castlegar Road, Galway (Phase 2)",63,Respond,,0,,0,,0,,0,Q2,2018,,0
Calf Turnkey,Galway City,"Caireal Mor, Castlegar Road, Galway (Phase 3)",8,Respond,,0,,0,,0,,0,Q2,2018,,0
Calf Turnkey,Galway City,"Cnoc na Ri, Clybaun Road, Galway  (Phase 1)*",2,Cluid Housing,,0,,0,,0,,0,,0,Q3,2017
Calf Turnkey,Galway City,"Creig Ard, Roscam, Galway City, Co. Galway (Phase 1)*",17,Cluid Housing,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Galway City,"Leana Theas, Cappagh Road, Galway City (Phase 1)*",10,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Galway City,"Letteragh Road, Rahoon, Galway City (Phase 1)*",10,Cluid Housing,,0,,0,,0,Q3,2020,,0,,0
Calf Turnkey,Galway City,"Letteragh Road, Rahoon, Galway City (Phase 2)",13,Cluid Housing,,0,,0,,0,Q3,2020,,0,,0
Calf Turnkey,Galway City,"Letteragh Road, Rahoon, Galway City (Phase 3)",16,Cluid Housing,,0,,0,,0,Q3,2020,,0,,0
Calf Turnkey,Galway City,"Letteragh Road, Rahoon, Galway City (Phase 4)*",25,Cluid Housing,,0,,0,,0,Q3,2020,,0,,0
Calf Turnkey,Galway City,"Maigh Rua, Doughiska, Galway  (Phase 1)",23,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q4,2017
Calf Turnkey,Galway City,"Maoilin, Ballymoneen Road, Galway (Phase 1)*",2,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q1,2017
Calf Turnkey,Galway City,"Maoilin, Ballymoneen Road, Galway (Phase 2)*",4,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2017
Calf Turnkey,Galway City,"Maoilin, Ballymoneen Road, Knocknacarra, Galway CIty (Phase 1)*",3,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q3,2018
Calf Turnkey,Galway City,"Reilean, Roscam, Block 5 Galway (Phase 1)*",12,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2017
Calf Turnkey,Galway City,"Reilean, Roscam,Block 4 Galway (Phase 1)*",12,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2017
Calf Turnkey,Galway City,"Revised Murrough, Renmore, Galway  (Phase 1)*",20,Cluid Housing,,0,,0,,0,,0,,0,Q1,2019
Ship Construction Turnkey,Galway County,"Lorro gate, Prospect, Athenry",14,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction Turnkey,Galway County,"Arvough, Kinvara",6,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction Turnkey,Galway County,"Castlecourt, Abbey Street, Portumna",10,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction Turnkey,Galway County,"Ashthorn Avenue, Headford",10,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Galway County,"Cuirt na hAbhann, Claregalway ",8,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Galway County,"Tullahill, Loughrea",19,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Galway County,"Tullahill, Loughrea - Phase 2",17,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Galway County,"Arvough, Kinvara",4,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Galway County,"Cois na hAbhainn, Tuam",2,N/A,,0,,0,,0,Q4,2019,,0,,0
Ship Construction Turnkey,Galway County,"Tullahill, Loughrea -  Phase 3",11,N/A,,0,,0,,0,,0,Q3,2018,,0
Ship Construction Turnkey,Galway County,"Tullahill, Loughrea - Phase 4",14,N/A,,0,,0,,0,,0,Q3,2018,,0
Ship Construction Turnkey,Galway County,"Kylebroughlan, Moycullen ",8,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction Turnkey,Galway County,"Kylebroughlan, Moycullen ",10,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction Turnkey,Galway County,"Kylebroughlan, Moycullen ",8,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction Turnkey,Galway County,"Kylebroughlan, Moycullen ",8,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction Turnkey,Galway County,"Kylebroughlan, Moycullen ",10,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction Turnkey,Galway County,"Garra� Mhic Aodha, Tubber Road, Gort ",31,N/A,,0,,0,,0,,0,Q2,2019,,0
Ship Construction,Galway City,"Monivea Road, Ballybaan More",15,N/A,,0,Q1,2019,,0,,0,,0,,0
Ship Construction,Galway City,"Monivea Road, Ballybaan More",58,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Galway City,"Headford Road, Castlegar",69,N/A,Q3,2018,,0,,0,,0,,0,,0
Ship Construction,Galway City,"Keeraun, Ballymoneen Road",60,N/A,Q2,2020,,0,,0,,0,,0,,0
Ship Construction,Galway City,"Clareview Park, Ballybaan",5,N/A,Q2,2020,,0,,0,,0,,0,,0
Ship Construction,Galway City,"Merlin Park Lands, Galway City",18,N/A,Q2,2020,,0,,0,,0,,0,,0
Public Private Partnership (Bundle 2),Galway City,Ballyburke,74,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction,Galway County,"Esker Fields, Ballinasloe",2,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Galway County,"Garbally Drive, Ballinasloe",10,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction,Galway County,"Na Clocha Rua, An Cheathr� Rua",4,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Galway County,Ardrahan (SRD),1,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction,Galway County,"Callowfinish, Carna (SRD)",1,N/A,,0,,0,,0,,0,,0,Q2,2018
Ship Construction,Galway County,"Waterdale, Claregalway (SRD)",1,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Galway County,Corndulla (SRD),1,N/A,,0,,0,,0,,0,,0,Q1,2019
Ship Construction,Galway County,Cill Ciar�n (SRD),1,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction,Galway County,Kinvara (SRD),1,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction,Galway County,"Cnoc na Carraige, Roundstone",8,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction,Galway County,"Hospital Road, Clifden",16,N/A,,0,,0,Q1,2020,,0,,0,,0
Ship Construction,Galway County,"Bridge Court, Ahascragh, Ballinasloe",18,N/A,,0,Q2,2019,,0,,0,,0,,0
Ship Construction,Galway County,"Caisle�n Raithl�n, Ardrahan",12,N/A,,0,Q2,2019,,0,,0,,0,,0
Ship Construction,Galway County,"Barrack Street, Loughrea",5,N/A,,0,,0,,0,,0,Q2,2020,,0
Ship Construction,Galway County,"Gilmartin Road, Tuam. Phase 2",24,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction,Galway County,"Cartron, Kinvara",10,N/A,,0,Q2,2020,,0,,0,,0,,0
Ship Construction,Galway County,"Gort U� Lochlainn, Moycullen",31,N/A,,0,Q4,2019,,0,,0,,0,,0
Ship Construction,Galway County,"Gilmartin Road, Tuam",16,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Galway County,"F�na Bhu�, Tuam",18,N/A,,0,,0,Q1,2020,,0,,0,,0
Ship Construction,Galway County,"Gilmartin Road, Tuam, Phase 3",19,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Galway County,"Cnoc na Carraige , Roundstone",6,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction,Galway County,"Killeeneen Beg, Craughwell (SRD)",1,N/A,Q2,2020,,0,,0,,0,,0,,0
Ship Construction,Galway County,"Ballyglass, Ardrahan (SRD)",1,N/A,Q2,2020,,0,,0,,0,,0,,0
Ship Construction,Galway County,"Woodpark, Portumna (SRD)",1,N/A,Q2,2020,,0,,0,,0,,0,,0
Ship Construction,Galway County,"Carrowmore West, Clontuskert, Ballinasloe (SRD)",1,N/A,Q2,2020,,0,,0,,0,,0,,0
Ship Construction,Galway County,"Cooralough, Williamstown (SRD)",1,N/A,Q2,2020,,0,,0,,0,,0,,0
Cas Construction Turnkey,Galway County,"Tubber Road, Gort",11,Inis Housing Association Ltd,,0,,0,,0,,0,Q2,2020,,0
Cas Construction,Galway County,Letterfrack (Phase 2),11,Cluid Housing Association,,0,,0,Q1,2020,,0,,0,,0
Cas Construction,Galway County,"Rossaveal Cottages, Ros a Mh�l, South Connemara",8,Tearmann Eanna Teoranta,Q4,2016,,0,,0,,0,,0,,0
Cas Construction,Galway County,"Cregboy, Claregalway",14,Claregalway and District Day Care Centre,,0,,0,,0,,0,,0,Q3,2019
Cas Construction,Galway County,Mountbellew,5,Mountbellew Voluntary Homes Association,,0,Q4,2019,,0,,0,,0,,0
Cas Construction,Galway County,"Springfield, Parkmore, Ballinasloe",4,Peter Triest Housing Association Ltd,Q2,2017,,0,,0,,0,,0,,0
Cas Construction,Galway County,Letterfrack (Phase 1),13,Cluid Housing Association,,0,,0,,0,,0,,0,Q2,2016
Cas Construction,Galway County,"Dunlo Hill, Ballinasloe",18,Cluid Housing Association,,0,,0,,0,,0,Q4,2018,,0
Cas Construction,Galway County,"Aggard More, Craughwell",4,Peter Triest Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Cas Construction,Galway County,"The Old Post Office, Inverin",4,Tearmann Eanna Teoranta,,0,,0,,0,,0,Q4,2019,,0
Cas Construction,Galway County,"Shannon Road, Portumna",4,Carraig Dubh Housing Association,Q1,2020,,0,,0,,0,,0,,0
Calf Turnkey,Galway County,"Cnoc na Si, Portumna, Co Galway (Phase 1)",10,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q2,2018
Calf Turnkey,Galway County,"Dunloe Street, Ballinasloe, Co. Galway (Phase 1)",9,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q3,2018,,0
Calf Turnkey,Galway County,"Oranhill, Oranmore, Co. Galway (Phase 1)*",22,Cluid Housing,,0,,0,,0,Q2,2020,,0,,0
Calf Turnkey,Galway County,"Riveroaks, Claregalway, Co Galway  (Phase 1)",11,Cluid Housing,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Galway County,"Riveroaks, Claregalway, Co Galway  (Phase 2)",12,Cluid Housing,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Galway County,"Riveroaks, Claregalway, Co Galway  (Phase 3)*",16,Cluid Housing,,0,,0,,0,,0,Q4,2019,,0
Calf Construction,Galway County,"Spiddal Cottages, Co Galway (Phase 1)",23,Cluid Housing,,0,,0,,0,,0,,0,Q3,2017
Calf Turnkey,Galway County,"Tir an Choir, Vicars Choral, Tuam, Co. Galway (Phase 1)",8,Co - Operative Housing Ireland Society Limited,,0,,0,,0,Q1,2020,,0,,0
Calf Turnkey,Galway County,"Tir an Choir, Vicars Choral, Tuam, Co. Galway (Phase 2)",4,Co - Operative Housing Ireland Society Limited,,0,,0,,0,Q1,2020,,0,,0
Ship Construction Turnkey,Kerry,"Ard Na Si, Lispole",2,N/A,,0,,0,,0,,0,,0,Q1,2018
Ship Construction Turnkey,Kerry,"1-4 Steeple Meadow View, Milltown",4,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction Turnkey,Kerry,"Meadow Park, Milltown",9,N/A,,0,,0,,0,,0,,0,Q2,2018
Ship Construction Turnkey,Kerry,"Ard Na Si, Lispole, Phase 2",5,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction Turnkey,Kerry,"Ardmoniel Heights, Killorglin",3,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Kerry,"47 Woodview, Cahirdown, Listowel",1,N/A,,0,,0,,0,,0,,0,Q2,2018
Ship Construction Turnkey,Kerry,"Dromin Upper, Listowel",8,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction Turnkey,Kerry,"Ard Na Si, Lispole, Phase 3",3,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Kerry,"Ardmoniel Heights, Killorglin - Phase 2",1,N/A,,0,,0,,0,,0,,0,Q2,2019
Ship Construction Turnkey,Kerry,"Ballygologue, Road, Listowel",2,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Kerry,"Cronin's Wood, Killarney",50,N/A,,0,,0,,0,Q1,2020,,0,,0
Ship Construction Turnkey,Kerry,"Marian Terrace, Ballyheigue",9,N/A,,0,,0,,0,Q2,2019,,0,,0
Ship Construction,Galway County,"Woodfireld, Dunmore (SRD)",1,N/A,Q2,2020,,0,,0,,0,,0,,0
Ship Construction,Galway County,"Knockaloura West, Brownsgrove, Tuam (SRD)",1,N/A,Q2,2020,,0,,0,,0,,0,,0
Ship Construction,Galway County,"Creggaturlough, Craughwell (SRD)",1,N/A,Q2,2020,,0,,0,,0,,0,,0
Ship Construction,Galway County,"Baunoge, Letterfrack (SRD)",1,N/A,Q2,2020,,0,,0,,0,,0,,0
Ship Construction,Galway County,"Hospital Road, Clifden",10,N/A,,0,,0,Q1,2020,,0,,0,,0
Ship Construction,Galway County,"F�na Bhu�, Tuam",13,N/A,,0,,0,Q1,2020,,0,,0,,0
Ship Construction,Galway County,"F�na Bhu�, Tuam",18,N/A,,0,,0,Q1,2020,,0,,0,,0
Ship Construction,Kerry,"Pinewood Estate, Killarney",6,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Kerry,"Glannagilliagh, Caragh Lake, Killorglin (SRD)",1,N/A,,0,,0,,0,Q3,2019,,0,,0
Ship Construction,Kerry,"Carrigcannon, Lyreacrumpane (SRD)",1,N/A,,0,,0,,0,Q3,2019,,0,,0
Ship Construction,Kerry,"Cois Gallain, Killorglin",14,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Kerry,Rathmore/Barraduff,20,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction,Kerry,"Ardbhearna, Kenmare",22,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Kerry,"Bill Kinnerk Road, Tralee",4,N/A,,0,,0,,0,,0,,0,Q1,2018
Ship Construction,Kerry,"Cuirt Eaglaise, Milltown",8,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Kerry,"Killeen, Tralee",21,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction,Kerry,Lixnaw,4,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction,Kerry,"The Park, Killarney",20,N/A,,0,,0,,0,,0,,0,Q1,2018
Ship Construction,Kerry,"Courthouse Lawn, Listowel",7,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Kerry,"Dreenagh, Ballyheigue (SRD)",1,N/A,,0,,0,,0,,0,,0,Q1,2017
Ship Construction,Kerry,"Glenach, Ballybunion",20,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction,Kerry,"Callinafercy, Milltown",1,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Kerry,"Cahernaboshina, Ventry",1,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Kerry,"An Carrigin, Tralee",28,N/A,,0,,0,,0,,0,Q2,2019,,0
Ship Construction,Kerry,"Pinewood Estate, Killarney",1,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Kerry,"Drom West, Glenbeigh",1,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Kerry,"Meanus, Killorglin",1,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction,Kerry,"Tullig Beg, Killorglin",1,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction,Kerry,"Owngarry, Killorglin",1,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Kerry,"Lohercannon, Tralee",61,N/A,,0,,0,,0,Q4,2019,,0,,0
Ship Construction,Kerry,"BallinaKilly Lower, Glenbeigh",1,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Kerry,"Ashgrove, Listowel",1,N/A,,0,,0,,0,,0,,0,Q3,2017
Ship Construction,Kerry,"Cullenagh Upper, Beaufort",1,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Kerry,"Farranwilliam, Ardfert",22,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction,Kerry,"Ballyrickard, Tralee",21,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction,Kerry,"Croogorts, Tralee",30,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction,Kerry,"Rock Rd., Killarney",10,N/A,,0,,0,,0,Q2,2020,,0,,0
Regeneration,Kerry,"Croilar Na Mistaelach, Tralee",11,N/A,,0,,0,,0,,0,,0,Q4,2018
Regeneration,Kerry,"Urban Terrace, Tralee",2,N/A,,0,,0,,0,,0,,0,Q4,2016
Regeneration,Kerry,"Clonmore Road, Tralee",3,N/A,,0,,0,,0,,0,,0,Q4,2016
Regeneration,Kerry,"St Martin's Park, Tralee",4,N/A,,0,,0,,0,,0,,0,Q4,2018
Regeneration,Kerry,"Dingle Road, Tralee",1,N/A,,0,,0,,0,,0,,0,Q2,2018
Cas Construction,Kerry,"Armagh House, Killarney",6,Cluid Housing Association,,0,,0,,0,,0,Q4,2019,,0
Cas Construction,Kerry,"22 College Road, Castleisland",4,Kerry Emigrant Support Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2018
Cas Construction,Kerry,"Chamfers Place (Mitchels road, Tralee)",18,Cluid Housing Association,,0,,0,Q4,2019,,0,,0,,0
Cas Construction,Kerry,"The Parsonage, Caherciveen",5,Caherciveen Social Services (Housing) Ltd,,0,,0,,0,,0,,0,Q4,2018
Cas Construction,Kerry,"Hawley Park Apartments, St Martins Park, Mitchels Rd, Tralee",15,Kingdom Voluntary Housing Association,,0,Q1,2019,,0,,0,,0,,0
Cas Construction,Kerry,"The Presentation Convent, Rathmore",4,Social Action Group Rathmore,,0,,0,,0,,0,Q4,2018,,0
Calf Turnkey,Kerry,"Ard Na Greine, Knockavota, Milltown, Co. Kerry (Phase 1)*",54,Cluid Housing,,0,,0,,0,Q2,2020,,0,,0
Calf Turnkey,Kerry,"Barraduff, Killarney, Co. Kerry (Phase 1)*",29,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Kerry,"Barraduff, Killarney, Co. Kerry (Phase 2)*",27,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Kerry,"Cathair Lakes Farrantoreen Road, Killorglin, Co Kerry (Phase 1)",5,Cluid Housing,,0,,0,,0,,0,,0,Q2,2016
Calf Turnkey,Kerry,"Commons East, Ardfert, Co. Kerry (Phase 1)*",30,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q2,2020,,0
Calf Turnkey,Kerry,"Cronins Wood, Killarney, Co. Kerry (Phase 1)",12,Túath Housing Association Ltd,,0,,0,,0,Q1,2020,,0,,0
Calf Turnkey,Kerry,"Cronins Wood, Killarney, Co. Kerry (Phase 2)",16,Túath Housing Association Ltd,,0,,0,,0,Q1,2020,,0,,0
Calf Turnkey,Kerry,"Cronins Wood, Killarney, Co. Kerry (Phase 3)",15,Túath Housing Association Ltd,,0,,0,,0,Q1,2020,,0,,0
Calf Turnkey,Kerry,"Deerpark Avenue, Tralee, Co. Kerry (Phase 1)",4,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q1,2019,,0
Calf Turnkey,Kerry,"Derreen, Killarney, Co Kerry  (Phase 1)*",61,Cluid Housing,,0,,0,,0,,0,Q4,2018,,0
Calf Turnkey,Kerry,"Doon Road, Lisloose, Tralee, Co. Kerry (Phase 1)*",14,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q4,2018,,0
Calf Turnkey,Kerry,"Dromcairn, Tralee, Co. Kerry (Phase 1)",12,Cluid Housing,,0,,0,,0,,0,Q1,2019,,0
Calf Turnkey,Kerry," Dun Ard, Doon Road, Ballybunnion, Co Kerry (Phase 1)",14,Respond,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Kerry," Dun Ard, Doon Road, Ballybunnion, Co Kerry (Phase 2)",2,Respond,,0,,0,,0,,0,,0,Q4,2019
